dimension_a,dimension_b,group_a,group_b,count,win_rate_3d,avg_3d,median_3d,win_rate_7d,avg_7d,median_7d,win_rate_14d,avg_14d,median_14d
funding_bucket,,NEGATIVE,,0,,,,,,,,,
funding_bucket,,NEUTRAL,,0,,,,,,,,,
funding_bucket,,POSITIVE,,0,,,,,,,,,
volume_bucket,,EXTREME,,0,,,,,,,,,
volume_bucket,,HIGH,,0,,,,,,,,,
volume_bucket,,LOW,,0,,,,,,,,,
volume_bucket,,NORMAL,,0,,,,,,,,,
structure_bucket,,0-25,,0,,,,,,,,,
structure_bucket,,25-50,,0,,,,,,,,,
structure_bucket,,50-75,,0,,,,,,,,,
structure_bucket,,75-100,,0,,,,,,,,,
is_overextended,,False,,0,,,,,,,,,
is_overextended,,True,,0,,,,,,,,,
is_top10,,False,,0,,,,,,,,,
is_top10,,True,,0,,,,,,,,,
is_top20,,False,,0,,,,,,,,,
is_top20,,True,,0,,,,,,,,,
market_regime,,BULL,,0,,,,,,,,,
btc_dist_ma99_bucket,,0%~5%,,0,,,,,,,,,
btc_dist_ma99_bucket,,N/A,,0,,,,,,,,,
entry_distance_bucket,,10%~20%,,0,,,,,,,,,
entry_distance_bucket,,20%+,,0,,,,,,,,,
entry_distance_bucket,,<5%,,0,,,,,,,,,
entry_distance_bucket,,N/A,,0,,,,,,,,,
funding_bucket,market_regime,NEGATIVE,BULL,0,,,,,,,,,
funding_bucket,market_regime,NEUTRAL,BULL,0,,,,,,,,,
funding_bucket,market_regime,POSITIVE,BULL,0,,,,,,,,,
funding_bucket,structure_bucket,NEGATIVE,0-25,0,,,,,,,,,
funding_bucket,structure_bucket,NEGATIVE,25-50,0,,,,,,,,,
funding_bucket,structure_bucket,NEGATIVE,50-75,0,,,,,,,,,
funding_bucket,structure_bucket,NEGATIVE,75-100,0,,,,,,,,,
funding_bucket,structure_bucket,NEUTRAL,0-25,0,,,,,,,,,
funding_bucket,structure_bucket,NEUTRAL,25-50,0,,,,,,,,,
funding_bucket,structure_bucket,NEUTRAL,50-75,0,,,,,,,,,
funding_bucket,structure_bucket,NEUTRAL,75-100,0,,,,,,,,,
funding_bucket,structure_bucket,POSITIVE,0-25,0,,,,,,,,,
funding_bucket,structure_bucket,POSITIVE,25-50,0,,,,,,,,,
funding_bucket,structure_bucket,POSITIVE,75-100,0,,,,,,,,,
funding_bucket,volume_bucket,NEGATIVE,EXTREME,0,,,,,,,,,
funding_bucket,volume_bucket,NEGATIVE,HIGH,0,,,,,,,,,
funding_bucket,volume_bucket,NEGATIVE,LOW,0,,,,,,,,,
funding_bucket,volume_bucket,NEGATIVE,NORMAL,0,,,,,,,,,
funding_bucket,volume_bucket,NEUTRAL,EXTREME,0,,,,,,,,,
funding_bucket,volume_bucket,NEUTRAL,HIGH,0,,,,,,,,,
funding_bucket,volume_bucket,NEUTRAL,LOW,0,,,,,,,,,
funding_bucket,volume_bucket,NEUTRAL,NORMAL,0,,,,,,,,,
funding_bucket,volume_bucket,POSITIVE,EXTREME,0,,,,,,,,,
funding_bucket,volume_bucket,POSITIVE,HIGH,0,,,,,,,,,
funding_bucket,volume_bucket,POSITIVE,LOW,0,,,,,,,,,
funding_bucket,volume_bucket,POSITIVE,NORMAL,0,,,,,,,,,
market_regime,structure_bucket,BULL,0-25,0,,,,,,,,,
market_regime,structure_bucket,BULL,25-50,0,,,,,,,,,
market_regime,structure_bucket,BULL,50-75,0,,,,,,,,,
market_regime,structure_bucket,BULL,75-100,0,,,,,,,,,
market_regime,volume_bucket,BULL,EXTREME,0,,,,,,,,,
market_regime,volume_bucket,BULL,HIGH,0,,,,,,,,,
market_regime,volume_bucket,BULL,LOW,0,,,,,,,,,
market_regime,volume_bucket,BULL,NORMAL,0,,,,,,,,,
volume_bucket,structure_bucket,EXTREME,0-25,0,,,,,,,,,
volume_bucket,structure_bucket,EXTREME,75-100,0,,,,,,,,,
volume_bucket,structure_bucket,HIGH,0-25,0,,,,,,,,,
volume_bucket,structure_bucket,HIGH,25-50,0,,,,,,,,,
volume_bucket,structure_bucket,HIGH,50-75,0,,,,,,,,,
volume_bucket,structure_bucket,HIGH,75-100,0,,,,,,,,,
volume_bucket,structure_bucket,LOW,0-25,0,,,,,,,,,
volume_bucket,structure_bucket,LOW,25-50,0,,,,,,,,,
volume_bucket,structure_bucket,LOW,50-75,0,,,,,,,,,
volume_bucket,structure_bucket,LOW,75-100,0,,,,,,,,,
volume_bucket,structure_bucket,NORMAL,0-25,0,,,,,,,,,
volume_bucket,structure_bucket,NORMAL,25-50,0,,,,,,,,,
volume_bucket,structure_bucket,NORMAL,50-75,0,,,,,,,,,
volume_bucket,structure_bucket,NORMAL,75-100,0,,,,,,,,,
is_top20,market_regime,False,BULL,0,,,,,,,,,
is_top20,market_regime,True,BULL,0,,,,,,,,,
entry_distance_bucket,market_regime,10%~20%,BULL,0,,,,,,,,,
entry_distance_bucket,market_regime,20%+,BULL,0,,,,,,,,,
entry_distance_bucket,market_regime,<5%,BULL,0,,,,,,,,,
entry_distance_bucket,market_regime,N/A,BULL,0,,,,,,,,,
